id,year,month,day,wekkday,hour,minute,lat,lon
410181,2004,9,12,1,21,26,42.95430556,-115.1561833
410182,2004,9,11,7,11,15,42.16212222,-114.2100083
410183,2004,9,12,1,15,42,43.11725,-114.0763806
410184,2004,9,13,2,19,43,47.89008611,-116.8512111
410185,2004,9,13,2,13,38,43.57213889,-116.2301528
410186,2004,9,8,4,13,1,48.53567778,-116.4219389
410187,2004,9,19,1,3,25,46.72683333,-117.0069472
410188,2004,9,10,6,9,55,44.59796111,-113.3185139
410189,2004,9,16,5,14,0,42.52042222,-114.8098639
410190,2004,9,18,7,17,55,44.07321389,-115.5191833
410191,2004,9,27,2,1,0,46.40267222,-117.0287694
410192,2004,9,29,4,7,10,43.75568333,-116.8907972
410193,2004,9,22,4,10,52,46.47645556,-116.7692222
410194,2004,9,18,7,5,15,42.95733056,-115.4765833
410195,2004,9,13,2,20,20,42.48981111,-114.3249194
410196,2004,9,25,7,18,0,43.39556944,-112.1129167
410197,2004,9,2,5,13,1,43.38106667,-112.18695
410198,2004,9,16,5,12,45,42.86437778,-112.4657556
410199,2004,9,14,3,15,0,42.16033056,-112.64405
410200,2004,9,30,5,0,1,43.10289444,-115.6286889
410201,2004,9,24,6,19,25,43.55559444,-114.3315167
410202,2004,10,4,2,15,49,44.26723056,-116.9936833
410203,2004,9,4,7,12,34,44.00066111,-111.4239222
410204,2004,10,6,4,4,55,46.73017222,-116.9801444
410205,2004,10,6,4,10,20,42.89531944,-114.168725
410206,2004,10,6,4,21,13,42.67063056,-114.4988139
410207,2004,8,28,7,5,0,43.06972222,-116.3836222
410208,2004,10,9,7,6,56,42.32556667,-114.5746944
410209,2004,10,9,7,20,34,44.88167222,-116.3854361
410210,2004,10,10,1,18,32,43.65127778,-116.7826389
410211,2004,10,12,3,8,23,44.26756944,-117.0536167
410212,2004,10,12,3,22,26,43.72085556,-116.3974889
410213,2004,10,14,5,17,17,47.89648611,-116.423825
410214,2004,10,14,5,18,14,46.39123056,-117.0112139
410215,2004,10,16,7,13,25,44.05743056,-116.9242
410216,2004,10,16,7,23,0,42.67203611,-113.5964944
410217,2004,10,29,6,4,42,48.33754444,-116.5979778
410218,2004,10,30,7,18,54,44.28726111,-111.4615056
410219,2004,10,10,1,23,11,42.68612222,-111.6036389
410220,2004,10,16,7,18,45,46.71810556,-115.5631
410221,2004,10,20,4,22,0,45.80444444,-116.368675
410222,2004,10,20,4,99,99,47.81361389,-116.8945528
410223,2004,11,3,4,13,0,43.57597778,-116.5556472
410224,2004,11,5,6,20,58,42.54813333,-114.3646917
410225,2004,11,7,1,2,14,42.77469722,-114.7238806
410226,2004,11,8,2,6,35,46.120775,-115.9436528
410227,2004,11,9,3,22,29,43.05013056,-112.4320194
410228,2004,11,9,3,15,14,42.54825278,-114.401475
410229,2004,11,8,2,21,0,43.72094722,-116.627625
410230,2004,11,13,7,3,59,42.799,-112.3633028
410231,2004,11,13,7,16,55,48.17469167,-116.181225
410232,2004,11,8,2,2,54,43.59810833,-116.5351167
410233,2004,11,20,7,9,38,42.22133333,-113.0762889
410234,2004,11,16,3,20,20,43.88359167,-111.7166972
410235,2004,11,22,2,1,55,43.416925,-116.0315389
410236,2004,11,20,7,0,1,42.50138056,-113.8727389
410237,2004,11,24,4,17,35,43.890925,-111.742575
410238,2004,11,19,6,2,7,43.67035,-111.8483361
410239,2004,11,19,6,17,58,46.43415556,-116.9123444
410240,2004,11,27,7,7,0,42.21285,-113.0475917
410241,2004,11,17,4,19,39,42.53494722,-114.4935111
410242,2004,11,15,2,20,0,43.82306111,-111.8381583
410243,2004,11,29,2,5,50,42.94578889,-115.4222917
410244,2004,11,27,7,12,20,42.78864722,-112.8346417
410245,2004,11,30,3,12,40,42.5884,-114.6727833
410246,2004,11,13,7,21,28,42.95930278,-115.2842417
410247,2004,11,12,6,10,54,42.95401389,-115.1504556
410248,2004,12,2,5,7,21,47.573775,-116.4419222
410249,2004,12,4,7,21,52,43.84134722,-112.3563833
410250,2004,12,2,5,7,38,43.58996944,-116.2636139
410251,2004,12,8,4,17,25,42.51823056,-113.7508333
410252,2004,12,7,3,6,56,42.82553056,-114.5187111
410253,2004,12,9,5,21,11,43.426175,-111.9838583
410254,2004,12,9,5,16,10,43.70591389,-116.6955444
410255,2004,12,16,5,2,52,46.10387778,-116.3558056
410256,2004,12,6,2,17,25,43.21551389,-112.4014944
410257,2004,12,21,3,14,10,42.49405833,-113.3992778
410258,2004,12,23,5,2,30,43.62775278,-116.2603972
410259,2004,12,12,1,5,55,42.92345556,-115.5755083
410260,2004,12,21,3,7,26,42.60803889,-114.7813
410261,2004,12,24,6,1,40,43.58430278,-116.5736917
410262,2004,12,28,3,4,30,43.60498056,-116.580275
410263,2004,12,29,4,11,39,44.27755556,-111.4666806
410264,2004,12,29,4,99,99,43.13869444,-116.4882472
410265,2004,1,1,5,7,5,41.99075278,-87.674675
410266,2004,1,1,5,5,46,41.63705556,-88.15975833
410267,2004,1,1,5,0,59,38.95696111,-88.762
410268,2004,1,1,5,0,40,41.55768056,-87.85652778
410269,2004,1,1,5,3,26,42.20463611,-88.38366389
410270,2004,1,2,6,15,0,40.48711111,-88.80376944
410271,2004,1,2,6,0,55,38.75999167,-90.09526667
410272,2004,1,2,6,9,23,41.75024444,-87.66217778
410273,2004,1,2,6,12,56,41.93467778,-89.02625
410274,2004,1,2,6,14,38,38.59545556,-90.042025
410275,2004,1,2,6,8,0,40.0079,-88.95680556
410276,2004,1,2,6,7,5,38.95635556,-87.68445556
410277,2004,1,2,6,17,29,41.37591667,-88.82926389
410278,2004,1,2,6,23,41,38.48919444,-89.77629167
410279,2004,1,3,7,10,25,39.27329167,-88.46817222
410280,2004,1,4,1,12,54,41.71851111,-87.58489167
410281,2004,1,4,1,20,53,41.82098889,-88.062675
410282,2004,1,5,2,16,8,41.60848333,-90.19354722
410283,2004,1,5,2,14,15,42.04316667,-87.85950278
410284,2004,1,5,2,17,45,37.44345833,-89.09336667
410285,2004,1,8,5,18,55,40.12036667,-88.04869167
410286,2004,1,8,5,2,53,41.79968611,-87.80065833
410287,2004,1,8,5,22,33,39.00716389,-87.62492778
410288,2004,1,9,6,21,30,39.04287222,-89.74807222
410289,2004,1,10,7,17,55,40.55048333,-89.84490556
410290,2004,1,10,7,8,5,41.97852778,-87.86465
410291,2004,1,11,1,22,25,42.41288333,-88.61344722
410292,2004,1,12,2,17,10,42.05768056,-88.02846389
410293,2004,1,12,2,11,30,41.71875833,-87.80641389
410294,2004,1,13,3,24,0,39.60311111,-90.15643333
410295,2004,1,14,4,3,39,38.70321667,-90.01615278
410296,2004,1,14,4,19,20,42.03839444,-88.04041944
410297,2004,1,15,5,21,4,40.66820556,-89.727675
410298,2004,1,15,5,9,4,41.43886111,-87.630925
410299,2004,1,15,5,23,44,42.33823889,-88.04413333
410300,2004,1,16,6,22,0,38.54803889,-89.88377778
410301,2004,1,16,6,14,4,41.48209167,-88.02256389
410302,2004,1,16,6,19,54,37.99988056,-89.74684722
410303,2004,1,17,7,7,14,42.35516389,-89.01463333
410304,2004,1,18,1,22,36,41.68170556,-87.969575
410305,2004,1,21,4,11,47,41.87036111,-87.64468611
410306,2004,1,21,4,0,42,41.69339722,-90.10005556
410307,2004,1,21,4,5,50,42.10143889,-87.7677
410308,2004,1,21,4,12,25,37.76009444,-89.02608611
410309,2004,1,23,6,7,15,40.14617222,-90.58951667
410310,2004,1,23,6,21,51,40.8518,-89.96173056
410311,2004,1,24,7,23,5,38.54194167,-90.04276111
410312,2004,1,24,7,23,10,41.55750278,-87.583475
410313,2004,1,24,7,0,50,41.86211667,-87.95893889
410314,2004,1,25,1,4,57,40.65536944,-89.64806667
410315,2004,1,25,1,0,40,41.71315556,-87.61388056
410316,2004,1,27,3,21,53,39.89605,-89.56198889
410317,2004,1,27,3,9,6,42.48100278,-88.20404722
410318,2004,1,27,3,19,44,41.63786667,-88.29464722
410319,2004,1,27,3,21,49,41.88819722,-88.10260556
410320,2004,1,29,5,21,5,39.17164167,-88.52147778
410321,2004,1,29,5,6,57,42.38570278,-88.61804722
410322,2004,1,29,5,2,20,41.55217778,-87.94291667
410323,2004,1,29,5,13,40,41.58620556,-87.72296389
410324,2004,1,29,5,19,40,39.19001667,-88.327
410325,2004,1,30,6,4,38,41.91900556,-87.94656111
410326,2004,1,30,6,9,56,41.92235833,-88.72343611
410327,2004,1,30,6,8,35,41.59966944,-88.16325556
410328,2004,1,30,6,14,45,38.60520556,-89.146
410329,2004,1,31,7,11,12,42.30693611,-88.21338056
410330,2004,1,31,7,23,19,40.74165,-89.66502778
410331,2004,1,31,7,4,29,41.62392778,-88.68656667
410332,2004,1,31,7,11,25,41.53048889,-87.9777
410333,2004,1,8,5,18,13,41.80977222,-87.72240278
410334,2004,1,11,1,11,43,38.74551389,-87.79667778
410335,2004,1,15,5,7,20,41.95715278,-87.95925833
410336,2004,1,22,5,3,38,41.80703333,-87.64056667
410337,2004,2,1,1,15,0,41.17726111,-88.15031944
410338,2004,2,1,1,19,33,42.47618889,-88.15285556
410339,2004,2,1,1,21,44,41.12515833,-88.82214167
410340,2004,2,2,2,20,56,41.59741389,-87.53948056
410341,2004,2,2,2,22,15,41.95344722,-87.72969722
410342,2004,2,3,3,16,27,42.098425,-89.57851944
410343,2004,2,5,5,19,50,42.28873611,-89.05750278
410344,2004,2,5,5,9,0,42.05973333,-88.04491389
410345,2004,2,6,6,0,57,41.59953611,-87.95364167
410346,2004,2,7,7,22,5,38.61761667,-90.18041667
410347,2004,2,7,7,13,36,41.10723333,-88.42284722
410348,2004,2,8,1,3,0,41.65745556,-87.76220278
410349,2004,2,9,2,10,0,42.35945556,-89.55876389
410350,2004,2,9,2,13,11,42.12880833,-90.15875556
410351,2004,2,9,2,5,0,42.39074722,-88.98968333
410352,2004,2,10,3,15,17,41.69219722,-87.66103056
410353,2004,2,10,3,14,11,40.17922778,-89.35859167
410354,2004,2,10,3,15,29,41.74899167,-90.04418611
410355,2004,2,11,4,15,30,38.94489722,-90.25808611
410356,2004,2,11,4,14,5,41.73988333,-87.82800833
410357,2004,2,12,5,5,23,38.86596667,-89.39825278
410358,2004,2,14,7,1,39,41.90296667,-87.68691667
410359,2004,2,14,7,4,27,38.10176944,-89.48294444
410360,2004,2,14,7,3,47,41.95926944,-87.74093889
410361,2004,2,15,1,9,15,38.04289722,-89.55763056
410362,2004,2,15,1,11,25,41.72197778,-87.79851667
410363,2004,2,16,2,7,20,41.20309722,-88.0117
410364,2004,2,16,2,3,5,41.49157778,-90.59425278
410365,2004,2,18,4,18,14,41.91816111,-88.06173611
410366,2004,2,18,4,4,21,42.29206944,-88.97022778
410367,2004,2,19,5,1,9,41.53184444,-88.09195
410368,2004,2,19,5,16,35,40.41995,-90.74422778
410369,2004,2,19,5,20,51,41.35338333,-88.19619722
410370,2004,2,21,7,14,5,38.75745278,-90.0648
410371,2004,2,21,7,2,5,40.10907778,-88.23342778
410372,2004,2,21,7,21,35,42.0875,-88.35117778
410373,2004,2,21,7,15,59,41.33822222,-88.38266667
410374,2004,2,22,1,17,30,39.39348333,-87.69374444
410375,2004,2,22,1,3,0,38.36343889,-89.53894444
410376,2004,2,24,3,15,29,42.08822778,-88.58763333
410377,2004,2,24,3,14,55,41.58179444,-88.25388333
410378,2004,2,25,4,11,25,41.49609167,-88.04205
410379,2004,2,25,4,20,59,40.52339444,-88.99554444
410380,2004,2,28,7,2,0,40.31163889,-89.158
410381,2004,2,28,7,8,50,40.02686944,-87.59081944
410382,2004,2,8,1,2,50,38.54014444,-89.15
410383,2004,2,29,1,10,51,40.84234444,-89.62988889
410384,2004,2,29,1,12,8,41.98431389,-88.31717222
